hash	message
8786590	feat: add image and edit copy for stitched links
c7a7c9b	copy: currently
c1088a3	copy
e55cdd7	copy
4ea6226	copy
340d9fc	copy
df95b31	copy
72e38fd	copy
5e4191c	feat: update font and link
ebac421	fix: meta tags
816a835	typo
231f2be	feat: merge lists into dedications
80a3252	feat: 404
7ab6f68	copy
89d2085	copy
b3dac0d	feat: add updated resume
c9c48fd	chore: use compressed sass
cfb79b6	copy
52a456d	style: spacing tweaks
1b7a58b	feat: remove resume for now
6c8ce08	style: move logo to the side to make more space
82b668c	chore: reduce size of logo svg
1e6bebd	chore: ignore bundle config
cf574d5	chore: ruby version
afa6b2b	chore: add ruby version
bb2a4de	copy
0d1beb7	style tweaks
d768a4a	fix page image
f3cfebe	Merge branch 'selectric'
59584ea	SELECTRIC
59ab799	typo
86a1624	typo
382d021	some posts
38af62a	feat: add rivers
23aac0f	style: no logo hover
a246401	feat: no gradient design
183bfa4	chore: clean up
f0cae4d	chore: update gems
72887f3	chore: update .gitignore
b474333	chore: update gemfile
7663e1e	Merge pull request #23 from whykatherine/imgbot
da49e2e	[ImgBot] Optimize images
6a2adff	feat: change project name
7dcb6bf	feat: change project name
c3ca52f	feat: add storehouse-a.info
34b13bf	content: edit description
5e37f54	feat: archive projects
fdb4883	content: update bio
0c2d1f9	content: update bio
c02e72c	Merge branch 'master' of https://github.com/whykatherine/whykatherine.github.io
cb16384	content: update bio
375ac25	chore: update gems
5f602cd	fix: typo
5180a51	feat: coem updates
84c9d41	feat: update bio
24436df	feat: update project description
0341d5f	feat: update bio
5ee8a1a	feat: add coem
2d5f00e	feat: archive bb & lgg
6f67043	feat: update bio
e35c5d3	chore: update
44a9a57	feat: update elsewhere
1bc7f8a	feat: update resume
c1cbc3e	chore: update packages
853e090	Merge branch 'master' of https://github.com/whykatherine/whykatherine.github.io
a392192	feat: update year
ec24bc8	fix: link
4237eab	feat: add dra.ft
c1c475b	refactor: move experiments to their own repos
576608e	refactor: move rivers into its own repo
c896895	fix: add doctype
3b55183	feat: move epistles into experiments
444fbbf	fix: use md instead of html?
29e25b7	feat: rivers
66d6f73	feat: add pub link
aa659e2	fix: typo
6dd5a51	style: fix padding
f82fac2	style: fix tab style
6b648a5	feat: update footer
0336d0a	chore: optimise images
461e0b4	chore: minimise file size
0bf9411	style: extra padding?
5426663	feat: update footer text
